holiday,weekend,temperature,humidity,target,rain,mon,tue,wed,thur,fri,sat,sun
0,1,21.3,93.8,1,1,False,False,False,True,False,False,False
0,1,25.3,80.4,811,1,False,False,False,False,True,False,False
0,1,24.2,83.6,4604,1,False,False,False,False,False,True,False
0,1,26.8,78.9,4005,0,False,False,False,False,False,False,True
0,1,28.1,74.0,1478,0,True,False,False,False,False,False,False
1,1,28.1,73.1,2829,0,False,True,False,False,False,False,False
0,1,27.7,72.0,672,0,False,False,True,False,False,False,False
0,1,26.1,80.5,648,1,False,False,False,True,False,False,False
0,1,28.3,72.9,754,1,False,False,False,False,True,False,False
0,1,28.2,72.4,3691,0,False,False,False,False,False,True,False
0,1,28.1,71.1,2187,0,False,False,False,False,False,False,True
0,1,29.2,69.6,484,0,True,False,False,False,False,False,False
0,1,27.6,73.3,472,1,False,True,False,False,False,False,False
0,1,26.7,83.0,166,1,False,False,True,False,False,False,False
0,1,25.5,89.1,154,1,False,False,False,True,False,False,False
0,1,26.2,70.3,848,0,False,False,False,False,True,False,False
0,1,25.0,74.8,6063,0,False,False,False,False,False,True,False
0,1,26.2,71.8,3988,0,False,False,False,False,False,False,True
0,1,26.1,73.5,378,0,True,False,False,False,False,False,False
0,1,24.8,86.3,92,1,False,True,False,False,False,False,False
0,1,21.1,93.9,34,1,False,False,True,False,False,False,False
0,1,22.5,81.3,584,0,False,False,False,True,False,False,False
0,1,23.1,72.8,1392,0,False,False,False,False,True,False,False
0,1,24.6,70.8,8479,0,False,False,False,False,False,True,False
0,1,27.0,74.5,4024,0,False,False,False,False,False,False,True
0,1,27.4,75.3,924,0,True,False,False,False,False,False,False
0,1,26.9,66.8,749,0,False,True,False,False,False,False,False
0,1,26.0,67.6,494,0,False,False,True,False,False,False,False
0,1,25.0,60.0,836,0,False,False,False,True,False,False,False
0,1,23.3,61.3,1660,0,False,False,False,False,True,False,False
0,1,24.1,67.6,9667,0,False,False,False,False,False,True,False
0,1,24.9,68.6,5892,0,False,False,False,False,False,False,True
0,1,25.2,68.8,541,0,True,False,False,False,False,False,False
0,1,24.5,71.4,662,0,False,True,False,False,False,False,False
0,1,21.0,91.8,192,1,False,False,True,False,False,False,False
0,1,22.1,87.1,1879,1,False,False,False,True,False,False,False
0,1,21.9,93.5,477,1,False,False,False,False,True,False,False
0,1,22.5,93.8,884,1,False,False,False,False,False,True,False
0,1,24.4,83.4,3668,0,False,False,False,False,False,False,True
0,1,24.5,79.6,730,1,True,False,False,False,False,False,False
0,1,23.6,78.8,1091,0,False,True,False,False,False,False,False
