content,sdate,edate,place
크리스마스행사,2023-12-11,2024-01-09,107
노은역 크리스마스 버스킹,2023-12-12,2023-12-12,120
빈대 방제 및 확산 예방캠페인,2023-12-13,2023-12-13,107
교통안전 캠페인,2023-12-14,2023-12-14,111
치매인식개선 캠페인 창작시화 전시회,2023-12-15,2023-12-15,116
청소년마약류예방포스터&amp;웹툰수상작전시회,2023-12-15,2024-01-12,103
버스킹,2023-12-16,2023-12-16,120
색소폰연주,2023-12-17,2023-12-17,111
노은2동 복지사각지대발굴 홍보 캠페인,2023-12-18,2023-12-18,121
목원대-배재대 건축학과 연합전시회,2023-12-19,2023-12-26,104
제9회 연안관리 홍보 콘텐츠 수상작 전시회,2023-12-22,2023-01-03,122
유니세프 홍보 캠페인,2023-12-27,2023-12-28,116
미코이스라엘 작품전,2023-12-27,2024-02-21,104
미코이스라엘 작품전,2023-12-27,2024-01-14,104
학교폭력 예방 포스터 전시,2024-01-11,2024-01-31,111
김영배 개인 사진전,2024-01-15,2024-01-20,104
안전문화캠페인,2024-01-16,2024-01-16,116
국제구호기구 옥스팜 인식개선 행사,2024-01-18,2024-01-25,111
민관경 합동 지역사회 마약류 범죄예방캠페인,2024-01-18,2024-01-18,104
미코이스라엘 작품전,2024-01-21,2024-02-21,104
발달장애인 작품전시회,2024-01-22,2024-01-26,116
세이브더칠드런 인식개선 행사,2024-01-25,2024-01-31,105
대전북부아동보호전문기관 2024년 달력 무료 배포,2024-01-30,2024-02-06,121
세이브더칠드런 인식개선 행사,2024-02-01,2024-02-08,104
대전관광사진 전국공모전 수상작품 전시,2024-02-01,2024-02-29,111
버스킹,2024-02-03,2024-02-03,120
도로명 주소 홍보 캠페인,2024-02-08,2024-02-08,105
세이브더칠드런 인식개선 행사,2024-02-19,2024-02-26,116
발달장애인 작품전시회(2회차),2024-02-26,2024-02-29,116
3.8 대전민주의거 사진전,2024-02-26,2024-03-04,106
사전연명의료의향서 등록제도 홍보 및 상담,2024-03-01,2024-10-31,116
제5회 전국 작가 초대 봄 시화전,2024-03-03,2024-03-17,104
3.8.대전민주의거 사진전시,2024-03-04,2024-03-11,111
금강사람 그림 전시회,2024-03-08,2024-03-22,111
세계 여성의 날 기념 주관 캠페인,2024-03-08,2024-03-08,101
"자원봉사, 대전의 온기를 품다 ",2024-03-18,2024-04-01,107
2024 함께하는 선거문화,2024-03-18,2024-03-26,104
2024 함께하는 선거문화,2024-03-26,2024-03-31,111
2024 함께하는 선거문화,2024-04-01,2024-04-08,122
장애인식개선 캠페인,2024-04-01,2024-04-05,104
산불방지 사진전,2024-04-04,2024-04-05,111
자원봉사활동 그림전,2024-04-08,2024-04-22,111
개인사진 전시회,2024-04-10,2024-04-15,104
버스킹,2024-04-13,2024-04-13,120
2024 찾아가는 일자리발굴단 이동상담,2024-04-16,2024-09-10,116
선진문학작가협회 시화전,2024-04-16,2024-04-30,104
"자전거의 날 맞이, 타슈 홍보 전시",2024-04-17,2024-04-24,111
자원봉사활동 그림전,2024-04-22,2024-05-03,101
"디지털성범죄, 성폭력, 가정폭력 등 예방캠페인",2024-04-24,2024-04-24,105
버스킹,2024-04-27,2024-04-27,120
자원봉사활동 그림전,2024-05-03,2024-05-17,104
대전통기타울림과 함께하는 음악공감,2024-05-04,2024-05-11,111
대전광역시 청소년동아리 댄스 페스티벌,2024-05-11,2024-05-11,107
자원봉사활동 그림전,2024-05-17,2024-05-31,116
명장의 전당 공사,2024-05-18,2024-06-14,104
인권사진 및 웹툰 전시,2024-05-23,2024-05-26,111
버스킹,2024-05-25,2024-06-01,120
지역사회통합돌봄 홍보 캠페인,2024-05-30,2024-05-30,110
버스킹,2024-06-01,2024-06-01,120
"2024년 초,중 구강보건 포스터 공모전 전시회",2024-06-03,2024-06-17,111
국민건강보험공단 건강부스 행사,2024-06-04,2024-06-04,116
국민건강보험공단 건강부스 행사,2024-06-13,2024-06-13,116
구강보건의 날 합동 캠페인,2024-06-13,2024-06-13,111
대전역 명장의 전당 공사,2024-06-15,2024-06-30,104
자원봉사활동 그림전,2024-06-20,2024-07-04,109
버스킹,2024-06-22,2024-06-29,120
시민들을 위한 클래식 음악회 ,2024-06-24,2024-06-24,104
2024년 약물안전캠페인 홍보부스 운영,2024-06-25,2024-06-25,107
버스킹,2024-06-29,2024-06-29,120
정원유치원송아트전시회,2024-07-01,2024-07-29,120
(자원봉사센터) 자봉자봉 버스킹 대회,2024-07-04,2024-07-04,107
자원봉사활동 그림전,2024-07-04,2024-07-18,105
소비자정보전시회,2024-07-06,2024-07-06,107
제11회 대전장애인 백일장 수상작 전시회,2024-07-08,2024-07-12,111
장애인식개선 사진전,2024-07-15,2024-07-21,111
자원봉사활동 그림전,2024-07-18,2024-08-01,112
버스킹,2024-07-20,2024-07-20,120
장애인식개선 캠페인,2024-07-22,2024-07-26,111
(자원봉사센터) 자봉자봉 버스킹 대회,2024-07-25,2024-07-25,107
간염 예방 캠페인,2024-07-26,2024-07-26,107
버스킹,2024-07-27,2024-07-27,120
대전옛사진전,2024-08-01,2024-08-21,104
(자원봉사센터) 자봉자봉 버스킹 대회,2024-08-07,2024-08-07,107
2024년 을지연습 계기 안보사진전,2024-08-12,2024-08-16,112
정원유치원송아트전시회,2024-08-12,2024-09-02,120
(긴급) 0시축제 재즈공연,2024-08-13,2024-08-13,106
소비자정보전시회,2024-08-24,2024-08-30,104
자원봉사활동 그림전,2024-08-29,2024-09-12,113
제1회 대한민국 인구페스티벌,2024-09-02,2024-09-06,104
(ESG경영팀) 갤러리 수선,2024-09-07,2024-10-01,104
전통시장 대학생 사진공모전 수상작 전시,2024-09-09,2024-09-11,116
