holiday,weekend,mon,tue,wed,thur,fri,sat,sun,temperature,rain,humidity
0,0,0,0,1,0,0,0,0,26.0,0.0,67.6
0,0,0,0,0,1,0,0,0,25.0,0.0,60.0
0,0,0,0,0,0,1,0,0,23.3,0.0,61.3
1,1,0,0,0,0,0,1,0,24.1,0.0,67.6
1,1,0,0,0,0,0,0,1,24.9,0.0,68.6
0,0,1,0,0,0,0,0,0,25.2,0.0,68.8
0,0,0,1,0,0,0,0,0,24.5,0.0,71.4
0,0,0,0,1,0,0,0,0,21.0,27.5,91.8
0,0,0,0,0,1,0,0,0,22.1,5.9,87.1
0,0,0,0,0,0,1,0,0,21.9,15.1,93.5
1,1,0,0,0,0,0,1,0,22.5,58.9,93.8
1,1,0,0,0,0,0,0,1,24.4,0.0,83.4
0,0,1,0,0,0,0,0,0,24.5,2.2,79.6
0,0,0,1,0,0,0,0,0,23.6,0.0,78.8
0,0,0,0,1,0,0,0,0,20.9,152.7,93.1
0,0,0,0,0,1,0,0,0,18.4,3.0,89.3
0,0,0,0,0,0,1,0,0,18.6,0.0,79.8
1,1,0,0,0,0,0,1,0,19.5,0.0,72.9
1,1,0,0,0,0,0,0,1,21.1,0.0,58.4
0,0,1,0,0,0,0,0,0,21.4,4.0,74.0
0,0,0,1,0,0,0,0,0,20.4,35.2,94.0
0,0,0,0,1,0,0,0,0,21.5,1.4,89.0
0,0,0,0,0,1,0,0,0,22.2,0.0,74.5
0,0,0,0,0,0,1,0,0,20.2,0.0,74.3
1,1,0,0,0,0,0,1,0,18.6,4.3,77.3
1,1,0,0,0,0,0,0,1,17.8,0.0,60.9
1,0,1,0,0,0,0,0,0,16.7,0.0,65.5
1,0,0,1,0,0,0,0,0,15.2,0.0,79.5
0,0,0,0,1,0,0,0,0,17.8,0.0,71.4
0,0,0,0,0,1,0,0,0,14.5,0.0,42.6
0,0,0,0,0,0,1,0,0,15.0,0.0,57.0
1,1,0,0,0,0,0,1,0,15.7,0.0,70.9
1,1,0,0,0,0,0,0,1,17.2,0.0,64.8
1,0,1,0,0,0,0,0,0,17.3,0.0,70.0
0,0,0,1,0,0,0,0,0,16.5,0.0,72.3
0,0,0,0,1,0,0,0,0,16.6,0.0,65.4
0,0,0,0,0,1,0,0,0,16.1,0.0,64.9
0,0,0,0,0,0,1,0,0,16.4,0.0,69.9
1,1,0,0,0,0,0,1,0,15.3,0.0,75.5
1,1,0,0,0,0,0,0,1,15.1,0.0,75.6
0,0,1,0,0,0,0,0,0,14.7,0.0,64.5
0,0,0,1,0,0,0,0,0,13.3,0.0,63.8
0,0,0,0,1,0,0,0,0,14.8,0.0,65.6
0,0,0,0,0,1,0,0,0,15.2,11.1,85.9
0,0,0,0,0,0,1,0,0,11.8,1.1,60.5
1,1,0,0,0,0,0,1,0,10.6,0.0,59.8
1,1,0,0,0,0,0,0,1,11.8,0.0,68.5
0,0,1,0,0,0,0,0,0,13.7,0.0,75.5
0,0,0,1,0,0,0,0,0,14.0,0.0,77.1
0,0,0,0,1,0,0,0,0,15.7,0.0,74.9
0,0,0,0,0,1,0,0,0,16.6,0.0,77.5
0,0,0,0,0,0,1,0,0,14.3,0.0,71.1
1,1,0,0,0,0,0,1,0,13.3,0.0,74.1
1,1,0,0,0,0,0,0,1,13.3,0.0,70.8
0,0,1,0,0,0,0,0,0,14.1,0.0,72.1
0,0,0,1,0,0,0,0,0,14.8,0.0,67.6
0,0,0,0,1,0,0,0,0,18.1,0.0,68.8
0,0,0,0,0,1,0,0,0,19.6,0.0,59.1
0,0,0,0,0,0,1,0,0,19.3,0.0,69.4
1,1,0,0,0,0,0,1,0,18.8,0.0,81.0
1,1,0,0,0,0,0,0,1,19.3,7.5,75.4
0,0,1,0,0,0,0,0,0,15.5,11.5,64.9
0,0,0,1,0,0,0,0,0,8.3,0.0,55.1
0,0,0,0,1,0,0,0,0,8.4,0.0,60.4
0,0,0,0,0,1,0,0,0,11.5,8.3,73.8
0,0,0,0,0,0,1,0,0,5.7,0.3,49.8
1,1,0,0,0,0,0,1,0,1.7,0.0,54.4
1,1,0,0,0,0,0,0,1,1.7,0.0,61.5
0,0,1,0,0,0,0,0,0,2.4,0.0,58.3
0,0,0,1,0,0,0,0,0,5.5,0.0,67.0
0,0,0,0,1,0,0,0,0,7.0,0.0,68.5
0,0,0,0,0,1,0,0,0,5.3,7.5,88.1
0,0,0,0,0,0,1,0,0,2.5,1.0,71.8
1,1,0,0,0,0,0,1,0,1.6,0.8,67.6
1,1,0,0,0,0,0,0,1,7.8,0.0,67.6
0,0,1,0,0,0,0,0,0,6.0,0.0,58.4
0,0,0,1,0,0,0,0,0,6.2,0.0,58.4
0,0,0,0,1,0,0,0,0,7.9,0.0,72.6
0,0,0,0,0,1,0,0,0,12.8,0.0,59.0
0,0,0,0,0,0,1,0,0,1.2,0.0,47.3
1,1,0,0,0,0,0,1,0,-1.2,0.0,38.0
1,1,0,0,0,0,0,0,1,4.2,0.4,49.9
0,0,1,0,0,0,0,0,0,7.0,3.0,82.1
0,0,0,1,0,0,0,0,0,3.4,0.0,59.4
0,0,0,0,1,0,0,0,0,2.4,0.0,66.8
0,0,0,0,0,1,0,0,0,-2.1,0.0,49.8
0,0,0,0,0,0,1,0,0,-1.7,0.0,58.8
1,1,0,0,0,0,0,1,0,2.8,0.0,61.4
1,1,0,0,0,0,0,0,1,2.7,0.0,49.4
0,0,1,0,0,0,0,0,0,2.3,0.0,60.4
0,0,0,1,0,0,0,0,0,3.6,0.0,65.6
0,0,0,0,1,0,0,0,0,6.0,5.3,73.6
0,0,0,0,0,1,0,0,0,6.3,0.0,55.6
0,0,0,0,0,0,1,0,0,10.6,0.0,62.5
1,1,0,0,0,0,0,1,0,13.3,0.0,71.0
1,1,0,0,0,0,0,0,1,13.9,0.0,71.4
0,0,1,0,0,0,0,0,0,11.9,37.0,82.6
0,0,0,1,0,0,0,0,0,7.6,0.5,75.6
0,0,0,0,1,0,0,0,0,9.5,0.0,66.5
0,0,0,0,0,1,0,0,0,9.6,26.6,79.0
0,0,0,0,0,0,1,0,0,8.9,47.0,93.4
1,1,0,0,0,0,0,1,0,-1.8,2.8,75.8
1,1,0,0,0,0,0,0,1,-8.5,0.0,61.5
0,0,1,0,0,0,0,0,0,-5.6,0.0,53.9
0,0,0,1,0,0,0,0,0,-2.5,0.0,59.8
0,0,0,0,1,0,0,0,0,-5.5,0.5,70.5
0,0,0,0,0,1,0,0,0,-9.7,0.0,64.8
0,0,0,0,0,0,1,0,0,-9.5,0.0,57.5
1,1,0,0,0,0,0,1,0,-5.6,0.0,57.1
1,1,0,0,0,0,0,0,1,-1.5,0.7,75.3
1,0,1,0,0,0,0,0,0,-0.4,0.0,79.6
0,0,0,1,0,0,0,0,0,2.2,0.0,72.3
0,0,0,0,1,0,0,0,0,2.6,0.0,73.6
0,0,0,0,0,1,0,0,0,1.2,0.0,78.3
0,0,0,0,0,0,1,0,0,1.9,0.0,74.6
1,1,0,0,0,0,0,1,0,0.8,1.9,89.3
1,1,0,0,0,0,0,0,1,3.8,1.8,85.0
1,0,1,0,0,0,0,0,0,3.8,0.0,75.3
0,0,0,1,0,0,0,0,0,4.0,0.0,72.3
0,0,0,0,1,0,0,0,0,1.9,0.2,75.3
0,0,0,0,0,1,0,0,0,1.0,0.0,73.3
0,0,0,0,0,0,1,0,0,5.6,0.0,74.1
1,1,0,0,0,0,0,1,0,1.4,0.3,66.0
1,1,0,0,0,0,0,0,1,-2.2,0.0,52.4
0,0,1,0,0,0,0,0,0,-3.8,0.0,51.0
0,0,0,1,0,0,0,0,0,0.8,2.8,69.5
0,0,0,0,1,0,0,0,0,-1.3,0.6,85.1
0,0,0,0,0,1,0,0,0,0.6,0.0,77.0
0,0,0,0,0,0,1,0,0,2.9,0.0,56.8
1,1,0,0,0,0,0,1,0,0.4,0.0,53.5
1,1,0,0,0,0,0,0,1,1.2,3.5,77.4
0,0,1,0,0,0,0,0,0,-2.1,0.0,50.4
0,0,0,1,0,0,0,0,0,-1.9,0.0,53.3
0,0,0,0,1,0,0,0,0,0.8,12.7,81.1
0,0,0,0,0,1,0,0,0,4.3,15.2,90.0
0,0,0,0,0,0,1,0,0,5.9,0.0,66.6
1,1,0,0,0,0,0,1,0,4.4,12.2,80.5
1,1,0,0,0,0,0,0,1,2.7,0.2,82.3
0,0,1,0,0,0,0,0,0,-5.4,0.0,62.6
0,0,0,1,0,0,0,0,0,-9.2,0.1,65.3
0,0,0,0,1,0,0,0,0,-6.9,0.0,62.8
0,0,0,0,0,1,0,0,0,-4.3,0.0,51.4
0,0,0,0,0,0,1,0,0,-1.9,0.0,66.3
1,1,0,0,0,0,0,1,0,0.1,0.0,61.8
1,1,0,0,0,0,0,0,1,-0.3,0.0,64.0
0,0,1,0,0,0,0,0,0,-1.0,0.0,63.4
0,0,0,1,0,0,0,0,0,1.3,0.0,54.6
0,0,0,0,1,0,0,0,0,5.9,0.0,46.3
0,0,0,0,0,1,0,0,0,4.0,0.0,62.4
0,0,0,0,0,0,1,0,0,4.1,0.0,60.5
1,1,0,0,0,0,0,1,0,4.6,0.4,71.0
1,1,0,0,0,0,0,0,1,6.2,1.3,72.9
0,0,1,0,0,0,0,0,0,4.1,12.3,83.3
0,0,0,1,0,0,0,0,0,1.7,1.1,87.4
0,0,0,0,1,0,0,0,0,0.3,0.0,63.8
0,0,0,0,0,1,0,0,0,0.6,0.0,66.4
0,0,0,0,0,0,1,0,0,1.2,0.0,61.6
1,1,0,0,0,0,0,1,0,1.3,0.0,67.3
1,1,0,0,0,0,0,0,1,0.8,0.0,64.9
0,0,1,0,0,0,0,0,0,3.6,0.0,54.9
0,0,0,1,0,0,0,0,0,8.4,0.0,59.5
0,0,0,0,1,0,0,0,0,13.2,0.0,72.8
0,0,0,0,0,1,0,0,0,5.9,2.0,83.0
0,0,0,0,0,0,1,0,0,3.1,0.0,63.1
1,1,0,0,0,0,0,1,0,5.5,0.0,62.3
1,1,0,0,0,0,0,0,1,5.5,28.4,81.8
0,0,1,0,0,0,0,0,0,9.8,16.6,94.5
0,0,0,1,0,0,0,0,0,5.3,5.0,89.4
0,0,0,0,1,0,0,0,0,4.0,17.9,87.5
0,0,0,0,0,1,0,0,0,2.1,3.7,80.1
0,0,0,0,0,0,1,0,0,3.0,0.0,66.8
1,1,0,0,0,0,0,1,0,2.9,3.3,65.3
1,1,0,0,0,0,0,0,1,2.3,1.7,86.8
0,0,1,0,0,0,0,0,0,3.7,0.0,68.0
0,0,0,1,0,0,0,0,0,5.3,0.0,48.4
